                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9545,                 3.6331,                 1.6914,                0.00781,                0.78326,                0.08493,                  0.045,                 1.3585,                 3.4108,                 1.3032,             0.00012861,             0.00012861,             0.00012861
                      2,                 1.6428,                   3.01,                 1.4203,                0.00901,                 0.8969,                0.08644,                0.05574,                 1.3489,                  3.111,                 1.2128,             0.00027086,             0.00027086,             0.00027086
                      3,                 1.3673,                 2.4283,                 1.2623,                0.00949,                0.90871,                0.12535,                0.07961,                 1.2454,                 3.0146,                 1.1904,             0.00041268,             0.00041268,             0.00041268
                      4,                 1.3677,                 2.2305,                 1.2309,                0.38301,                0.05173,                0.14407,                0.08708,                 1.3639,                  2.881,                 1.2042,             0.00055424,             0.00055424,             0.00055424
                      5,                 1.2637,                  2.093,                 1.1977,                0.54384,                0.03879,                0.12298,                0.07591,                 1.3229,                 2.9859,                 1.2335,             0.00069538,             0.00069538,             0.00069538
                      6,                 1.2744,                 1.9275,                 1.1899,                0.26619,                0.14996,                0.16994,                0.10672,                 1.3187,                 2.8369,                 1.2129,             0.00083617,             0.00083617,             0.00083617
                      7,                 1.2338,                 1.8813,                 1.1681,                0.19362,                0.20514,                0.15956,                 0.0855,                 1.4209,                 2.7746,                 1.2504,             0.00097674,             0.00097674,             0.00097674
                      8,                 1.2026,                 1.7436,                 1.1453,                0.19457,                0.38933,                0.14667,                0.08746,                  1.482,                 3.6865,                 1.3114,              0.0011167,              0.0011167,              0.0011167
                      9,                 1.2227,                 1.8047,                 1.1759,                0.25936,                0.37059,                0.21679,                0.14391,                 1.4675,                 3.5683,                 1.4301,              0.0012565,              0.0012565,              0.0012565
                     10,                 1.2391,                 1.7598,                 1.2181,                0.24351,                0.34033,                0.18137,                0.09773,                 1.5206,                  3.953,                  1.449,               0.001396,               0.001396,               0.001396
                     11,                 1.2788,                 1.6918,                 1.2161,                 0.1763,                0.28336,                0.17177,                0.10568,                 1.4659,                 3.2963,                 1.4048,              0.0014088,              0.0014088,              0.0014088
                     12,                 1.2525,                 1.6621,                 1.1835,                0.35777,                 0.2519,                0.24307,                0.14961,                 1.3677,                 2.5193,                 1.3492,              0.0014074,              0.0014074,              0.0014074
                     13,                  1.182,                 1.6049,                 1.1777,                 0.2923,                0.30773,                0.26872,                0.16679,                 1.4002,                 2.3231,                 1.3738,              0.0014057,              0.0014057,              0.0014057
                     14,                 1.1803,                 1.5398,                 1.1334,                0.29367,                0.26984,                0.22174,                0.13852,                 1.3863,                 2.6086,                 1.3479,              0.0014043,              0.0014043,              0.0014043
                     15,                 1.1748,                 1.5346,                 1.1485,                0.25982,                0.33833,                0.18587,                0.11019,                 1.4528,                 3.0174,                 1.4109,              0.0014032,              0.0014032,              0.0014032
