                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     16,                 1.0878,                 1.3949,                 1.1079,                0.35931,                0.29581,                0.31842,                0.20181,                 1.3374,                 2.1966,                 1.3238,              0.0014019,              0.0014019,              0.0014019
                     17,                 1.1154,                 1.4118,                 1.1024,                0.39582,                0.39109,                0.31795,                0.20939,                 1.2334,                 2.1002,                 1.2192,              0.0014005,              0.0014005,              0.0014005
                     18,                 1.0642,                 1.3885,                 1.0999,                0.33908,                0.30566,                0.31072,                0.20394,                 1.3267,                 2.1048,                 1.3083,              0.0013992,              0.0013992,              0.0013992
                     19,                 1.0795,                  1.389,                 1.1111,                0.30347,                0.43152,                0.31553,                0.19581,                 1.3006,                 2.2064,                  1.294,               0.001398,               0.001398,               0.001398
                     20,                 1.1082,                 1.3244,                 1.0978,                0.40515,                0.43688,                0.37775,                 0.2318,                 1.2624,                 2.1955,                 1.2342,              0.0013968,              0.0013968,              0.0013968
                     21,                 1.0427,                 1.3084,                 1.0941,                0.45978,                0.42059,                0.42288,                0.25156,                 1.2441,                 2.3196,                 1.2304,              0.0013954,              0.0013954,              0.0013954
                     22,                 1.0254,                 1.3274,                 1.0663,                0.43746,                0.42631,                0.36159,                0.24391,                 1.2289,                  1.981,                 1.2433,              0.0013941,              0.0013941,              0.0013941
                     23,                  1.052,                 1.2684,                 1.0798,                0.42554,                0.47664,                0.44022,                0.28888,                 1.2221,                 1.8272,                 1.2554,              0.0013929,              0.0013929,              0.0013929
                     24,                 1.0379,                 1.2726,                 1.0695,                0.40304,                0.51593,                0.41114,                0.27184,                 1.1681,                 2.1815,                 1.2522,              0.0013913,              0.0013913,              0.0013913
                     25,                 1.0323,                 1.2792,                 1.0683,                0.45938,                0.45075,                0.42485,                0.28212,                 1.2155,                 2.0725,                 1.2257,              0.0013902,              0.0013902,              0.0013902
                     26,                 1.0279,                 1.2349,                 1.0843,                0.50329,                0.39358,                 0.4376,                0.32397,                 1.2147,                 1.9687,                 1.2248,              0.0013889,              0.0013889,              0.0013889
                     27,                 1.0199,                 1.1638,                 1.0518,                0.59074,                 0.3696,                0.41363,                0.30357,                 1.1933,                 2.1042,                 1.2058,              0.0013875,              0.0013875,              0.0013875
                     28,                 1.0109,                 1.2051,                 1.0598,                0.57186,                0.38999,                0.46827,                0.34378,                 1.2042,                 1.8135,                 1.2245,              0.0013865,              0.0013865,              0.0013865
                     29,                0.94952,                 1.1069,                 1.0343,                0.49691,                0.41539,                0.48265,                0.31844,                 1.2025,                 1.7339,                 1.2334,              0.0013853,              0.0013853,              0.0013853
                     30,                0.95394,                 1.0923,                 1.0212,                0.45767,                0.46091,                0.49672,                0.35532,                 1.1966,                 1.8318,                 1.2154,              0.0013842,              0.0013842,              0.0013842
