                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9545,                 3.6331,                 1.6914,                0.00781,                0.78326,                0.08493,                  0.045,                 1.3585,                 3.4108,                 1.3032,             0.00012861,             0.00012861,             0.00012861
                      2,                 1.6575,                 3.0143,                 1.4327,                0.00906,                0.90344,                0.08162,                0.05251,                 1.3467,                  3.123,                 1.2124,             0.00027069,             0.00027069,             0.00027069
                      3,                  1.364,                 2.4328,                 1.2663,                0.00935,                0.90808,                0.10763,                 0.0724,                 1.2988,                 3.0807,                 1.2262,             0.00041243,             0.00041243,             0.00041243
                      4,                 1.3638,                 2.2474,                 1.2313,                 0.1618,                0.29599,                0.14631,                0.09222,                 1.3294,                 2.9519,                 1.2246,             0.00055406,             0.00055406,             0.00055406
                      5,                 1.2759,                 2.1165,                 1.2172,                0.53302,                0.06325,                0.17559,                0.13742,                 1.3473,                 3.0964,                 1.2608,             0.00069532,             0.00069532,             0.00069532
                      6,                 1.2683,                 1.9756,                 1.2028,                0.25759,                0.18277,                0.14588,                0.09464,                  1.199,                 2.8374,                 1.1679,             0.00083576,             0.00083576,             0.00083576
                      7,                 1.2426,                 1.8793,                  1.176,                 0.1469,                 0.2846,                0.14975,                0.07744,                 1.3743,                 2.8097,                 1.2534,             0.00097647,             0.00097647,             0.00097647
                      8,                 1.2253,                  1.808,                 1.1643,                0.22992,                0.33047,                0.16419,                0.08625,                 1.3881,                   2.92,                  1.276,              0.0011171,              0.0011171,              0.0011171
                      9,                 1.2516,                 1.7946,                 1.1652,                0.21465,                0.29207,                0.16278,                0.10348,                 1.4547,                 2.8348,                 1.3329,              0.0012572,              0.0012572,              0.0012572
                     10,                 1.2138,                 1.7273,                 1.1926,                 0.2501,                 0.1796,                0.19725,                0.11213,                 1.6102,                 2.6849,                 1.4906,              0.0013973,              0.0013973,              0.0013973
                     11,                 1.2488,                 1.6871,                 1.1934,                0.25496,                0.21755,                0.20572,                 0.1307,                 1.4515,                 2.6758,                 1.4215,              0.0014102,              0.0014102,              0.0014102
                     12,                 1.2194,                 1.6882,                 1.1719,                0.19133,                0.44306,                0.20836,                0.14108,                 1.4019,                 3.3292,                 1.3963,              0.0014091,              0.0014091,              0.0014091
                     13,                 1.1797,                 1.6367,                 1.1785,                0.19659,                0.39204,                0.19186,                0.12296,                 1.4354,                 3.4952,                 1.4216,              0.0014078,              0.0014078,              0.0014078
                     14,                  1.178,                 1.5795,                 1.1315,                0.29118,                0.33433,                0.23437,                0.16324,                 1.4493,                 2.6774,                 1.4009,              0.0014065,              0.0014065,              0.0014065
                     15,                 1.1483,                 1.4931,                   1.13,                 0.3247,                0.32577,                0.23907,                0.15919,                 1.3466,                 3.0432,                 1.3724,              0.0014053,              0.0014053,              0.0014053
                     16,                 1.0808,                 1.3837,                 1.0943,                0.41832,                0.26918,                0.29276,                0.19345,                 1.3335,                 2.8272,                  1.344,              0.0014042,              0.0014042,              0.0014042
                     17,                 1.1249,                 1.4273,                 1.1042,                0.40032,                0.33053,                0.33578,                0.23175,                 1.2725,                 2.4197,                 1.2845,              0.0014031,              0.0014031,              0.0014031
                     18,                 1.0436,                 1.3822,                 1.0921,                0.34362,                0.38538,                0.31472,                0.20524,                 1.3343,                 2.1269,                 1.3087,              0.0014019,              0.0014019,              0.0014019
                     19,                 1.0674,                 1.4198,                 1.1161,                0.48082,                0.45029,                0.43691,                0.28006,                 1.2296,                 1.8821,                 1.2153,              0.0014008,              0.0014008,              0.0014008
                     20,                 1.0968,                 1.3324,                 1.0998,                0.43774,                0.39333,                0.42242,                0.27129,                 1.2636,                 2.1495,                 1.2239,              0.0013997,              0.0013997,              0.0013997
                     21,                 1.0242,                 1.2793,                  1.078,                0.45238,                 0.4431,                0.38312,                0.24627,                 1.1963,                  2.203,                 1.2326,              0.0013986,              0.0013986,              0.0013986
                     22,                 1.0339,                 1.3282,                 1.0672,                0.50535,                0.46578,                0.45557,                0.29869,                 1.3343,                   1.92,                 1.3697,              0.0013976,              0.0013976,              0.0013976
